TICKER,DATA,VOLUME,FECHAMENTO_AJUSTADO,ROIC,VALOR_MERCADO,EBIT_EV
ALPA3,6/30/2012,16900,6.83,0.15263,5130070880,0.06527
ALPA3,7/31/2012,19823,6.51,0.15263,4786675256,0.07042
ALPA3,8/31/2012,31185,6.77,0.14555,5062286600,0.05871
ALPA3,9/30/2012,1531,8.07,0.14555,5752070810,0.05116
ALPA3,10/31/2012,117315,7.83,0.14555,5892972900,0.04985
ALPA3,11/30/2012,68431,7.03,0.13416,5405170050,0.05292
ALPA3,12/31/2012,4410,7.77,0.13416,5791024700,0.04916
ALPA3,1/31/2013,2842815,7.51,0.13416,5399285280,0.05298
ALPA3,2/28/2013,16000,7.06,0.13416,5239259670,0.05472
ALPA3,3/31/2013,43101,6.94,0.13903,5169884760,0.06014
ALPA3,4/30/2013,13740,7.27,0.13903,5543193854,0.05584
ALPA3,5/31/2013,11693,7.57,0.14172,6022277855,0.05397
ALPA3,6/30/2013,3166533,6.12,0.14172,5284194190,0.06194
ALPA3,7/31/2013,193700,6.29,0.14172,5232541721,0.06258
ALPA3,8/31/2013,5558,6.38,0.1337,4960263980,0.06982
ALPA3,9/30/2013,5093,7.47,0.1337,5795627900,0.05931
ALPA3,10/31/2013,2548,7.52,0.1337,6036032200,0.05684
ALPA3,11/30/2013,23647,7.46,0.1179,5900566680,0.05509
ALPA3,12/31/2013,14207,7.69,0.1179,5932137960,0.05479
ALPA3,1/31/2014,19344,7.16,0.1179,5201515500,0.06283
ALPA3,2/28/2014,4460,6.51,0.1179,5016559000,0.06526
ALPA3,3/31/2014,27182,7.09,0.12033,5283480140,0.06474
ALPA3,4/30/2014,61153,6.64,0.12033,5035958752,0.0681
ALPA3,5/31/2014,230469,7.19,0.12929,5340474722,0.07089
ALPA3,6/30/2014,7526,6.98,0.12929,5300815190,0.07145
ALPA3,7/31/2014,9315,6.84,0.12929,4972776710,0.07648
ALPA3,8/31/2014,12610,7.03,0.12615,5066864350,0.06475
ALPA3,9/30/2014,19800,6.57,0.12615,4712376840,0.06992
ALPA3,10/31/2014,1714,5.68,0.12615,3902181400,0.08551
ALPA3,11/30/2014,3975,5.29,0.12674,3772115240,0.0835
ALPA3,12/31/2014,174174,4.46,0.12674,3277877550,0.09665
ALPA3,1/31/2015,3190,5.32,0.12674,3884885730,0.08098
ALPA3,2/28/2015,150264,5.92,0.12674,4269387760,0.07344
ALPA3,3/31/2015,46814,6.52,0.11824,4495586800,0.07184
ALPA3,4/30/2015,1863,6.45,0.11824,4599321500,0.07023
ALPA3,5/31/2015,945,6.58,0.11417,4548730950,0.06951
ALPA3,6/30/2015,14920,5.16,0.11417,3740195350,0.08459
ALPA3,7/31/2015,9940,4.9,0.11417,3474445110,0.09109
ALPA3,8/31/2015,666,4.63,0.12521,3419513440,0.09759
ALPA3,9/30/2015,32459,4.69,0.12521,3103693200,0.10728
ALPA3,10/31/2015,75140,6.75,0.12521,4159062850,0.08056
ALPA3,11/30/2015,58550,6.93,0.13867,4055072790,0.09438
ALPA3,12/31/2015,960,7.07,0.13867,3948794320,0.09689
ALPA3,1/31/2016,24136,6.96,0.13867,3951455940,0.09683
ALPA3,2/29/2016,41289,7.26,0.13867,4477318840,0.08558
ALPA3,3/31/2016,44665,7.32,0.13084,4285986160,0.0825
ALPA3,4/30/2016,7081,7.46,0.13084,4557030150,0.07778
ALPA3,5/31/2016,118504,7.64,0.14305,4730576100,0.08195
ALPA3,6/30/2016,8210,7.63,0.14305,4776855020,0.08118
ALPA3,7/31/2016,8480,7.86,0.14305,5192726900,0.0749
ALPA3,8/31/2016,29149,8.08,0.15287,4958552830,0.0857
